Airline ID,Operator,ICAO,Country,Active,Date,Location,Type,Aboard,Fatalities
2143,Egyptair,MSR,Egypt,Y,1987-09-21,"Luxor, Egypt",Airbus A.300B4-203,5.0,5.0
2143,Egyptair,MSR,Egypt,Y,1999-10-31,"Off Nantucket Island, Massachusetts",Boeing B-767-366ER,217.0,217.0
2143,Egyptair,MSR,Egypt,Y,2002-05-07,"Near Tunis, Tunisia",Boeing B-737-566,62.0,14.0
2186,Empire Airlines,CFS,United States,N,1995-01-11,"Flagstaff, Arizona",Cessna 208B Caravan I Super Cargomaster,1.0,1.0
2186,Empire Airlines,CFS,United States,N,2000-10-09,"Lummi Island, Washington",Cessna 208B Caravan I Super Cargomaster,1.0,1.0
2199,Enimex,ENI,Estonia,N,2003-02-10,"Tallinn, Estonia",Antonov AN-28,3.0,2.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1972-09-10,"Gondar, Ethiopia",Douglas DC-3,11.0,11.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1974-11-20,"Soddu, Ethiopia",Douglas DC-3,24.0,2.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1975-09-11,"Near Bahar Dar, Ethiopia",Douglas C-47-DL,9.0,1.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1977-07-20,"Jima, Ethiopia",Douglas DC-3,5.0,5.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1977-11-19,"Rome, Italy",Boeing 707-360C,5.0,5.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1979-02-19,"Barentu, Ethiopia",Douglas DC-3,5.0,5.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1988-09-15,"Bahar Dar, Ethiopia",Boeing B-737-230,104.0,35.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1991-09-17,,Lockheed L-100-30 Hercules,4.0,4.0
2220,Ethiopian Airlines,ETH,Ethiopia,Y,1996-11-23,"Off Moroni, Comoros",Boeing B-767-200ER,175.0,127.0
